NOMBRE,DESCRIPCION,TRADUCCION,COSTO_PRODUCCION,PRECIO_VENTA,TIEMPO_PREPARACION,TIPO
LdVmVEli5M,ovmjkhO2Zx,BpvMeAFmPx,1333590326,1171948203,1231782257,27935825552587
SQ3R966cJK,9POAXSIXpL,m0XI8X2z4w,384551652,210790044,1482147335,27935827406073
Q8FBzwZY1n,akRxPu1OsD,WZg0GKNy6s,913458593,620620597,1793522428,27935828583072
Jwp3ir1MFs,lGHOj1qId1,KW2oxydymV,258752327,1985528236,550957221,27935841416589
wVqR3sDjMB,eINnQ8jr2y,GnPc1F8bBt,1227462844,847435215,1001307886,27935844288518
f8m1PW4d8U,gvRIn5CdmN,ugNnLdztYG,421195186,849475136,50722024,27935845648663
woTKCh9dhL,FP5z3V9Tdm,1wrTvIYH_6,475983024,1744823556,424671937,27935846930683
sodDFuO2UT,zWiM2izhnt,hQtL3K_U3B,835398057,674138710,1189528581,27935848064393
rIOoxg5_hC,Q_Vk8dE3tU,JecaGJMeNG,822774856,1001327798,1690826649,27935849307478
O08LCbJp23,RF4geDQDH4,zGBPC4v1U4,528786008,260703396,202326279,27935850504713
sPXYVu6Aul,4EZ0IT4YDq,AlwWqgVpOh,947115039,928541213,1050822768,27935851531354
D_hxKY5r_p,2xwJf2zEkw,PnGwJeqa4b,968001848,1166173459,1980151169,27935852600258
XknnHZfJLL,x1csRJS1iX,ez1ETDZJUw,1673210359,1578114409,593637523,27935854135352
r7CJDnNfcH,uX74RhL8yk,yfAs2QafaW,2041060903,917093203,796549481,27935855673264
uAF9ICrJAb,0v0aUGjLBk,qqG9347Ds2,1093914122,379020980,2058678324,27935857005744
SikznEBWaT,k3dhZwSspI,iFJWzcytVi,45654361,1455507359,1561822416,27935858498318
J8GenZiCtb,UdLHp34qpf,u9l_01O6pb,154206280,1638893049,642238243,27935860704775
AlYKJH9w98,kTdvP_MCzM,aGlbtVKvu0,574051006,864700853,495673219,27935862217840
nEE3Iolp4v,n7PEapdJha,kEGsU9Rtj2,503709884,1511635705,29881773,27935863507288
n6opWbM2hM,0goSKZR_sp,Q5vrXIcrJr,1333228090,1959133625,159592845,27935864571326
W3U5_sg6_r,apuaTzfC4u,EasbMjdaqR,1645369201,1574127320,225349168,27935899007324
m7BJtMeK0_,6WUbFHfu3k,PG8VoRHY5d,1708239648,1136208018,1091042588,27935899526280
wJKOp3uM7f,0oiucD2E3O,Wehc4qd29q,1444459140,1003442122,12353973,27935900177151
qUPp9U1QYj,KBQFenp934,nL_WOAgjFM,1109513584,2061362283,1114752083,27935900689191
u0t27ApDfC,iEh3TDzIuh,nQ80pBRtnu,1002929140,1196232367,1940745404,27935901191753
uKBq4OROP8,QQ3QxJTTkH,1EMnoyEQDK,1468272113,2032465476,2039816961,27935901710708
CifM2Rb3Lw,HL92WD6RYB,bWP83fSuuA,745665382,2047722342,820940577,27935902180739
obJxkAR1ja,nbbqaX9Ajk,G6cjogidC2,1414239332,1162845727,1847548163,27935902698414
LkxxzmSnU_,xauFBYjJJg,8828fYjynY,1802197272,1741860398,2100111614,27935903171775
22lWE6VMbg,20VdXz7F6S,ZAyM_rUGNe,281782563,2038688,566077072,27935903704819
SZ7eIghT0X,SaYkgjmxJC,zJexpyCzxA,1711729919,1046286033,387349032,27935904228641
nfVheSPmmp,drM7Upa_t5,3jIJ5YzQXG,257395743,1683271503,270355357,27935904812914
j7gXt5Qtvz,P7qyIS5DPB,MMMY3uT26P,285512394,216110324,293791577,27935905323417
3dIV_9ZLP9,xj2fH9BZwx,8p7EYFNrlv,1115769598,2137171043,916884329,27935905825467
E0urzKqOCk,4prjuTJMSi,0NfrD0kvSn,65137334,1498142455,299338219,27935906300877
NnN8TgPpUw,612pUjcNC2,DeNrKW3bZl,1202395625,1371903129,1045940940,27935906822138
syaSQDOyj6,ClYykUsfzN,QgltKwa_Ym,1409384671,446186801,671692317,27935907629516
6RwQIr1qgr,Oid2SpGSBA,6AB8QoDIZk,1118422876,1613516997,191738836,27935908179465
S5vjS4nP1a,lDveUMPBn5,q1kJZM8P99,199948880,1233788824,2057265740,27935908684844
noB0JBZLfN,zNVMEmOw1H,ElnXs07tGO,1370229997,1150902883,1138005116,27935909235050
pbVg0p0__a,uFSM25GaDK,B_1kewWTBK,1199337056,1199183793,1763775849,27935936108797
kJ0A6JIj4f,cSF9JwvOgF,IExeCApJPZ,1259813259,84376933,1517546066,27935936646195
O2oPr4ck8o,obdpUCEaCH,tUp5jLygb9,1190241350,2002462330,395306225,27935937128265
m5szpwCLwn,X8b0Zckl2y,QXFJjL8Arr,1937886277,152314982,1025142331,27935937844198
VSnqVh10RK,SEO6g8Vsoa,wfvGeAMucT,141924860,686782173,361279046,27935938611361
DYvFVdxhbj,quNY0Rq4_5,U56THMmNlr,1041953987,576505234,1357892903,27935939096249
jVpgpOtKYh,a5jVlutbmi,Vpdiidlm_8,1298122030,543930552,84210359,27935939630573
kgRWnbbj66,Xz4ipNmjGp,9ZoJGdL8hY,1876030199,768342077,756893423,27935940119559
GzN2Rb8RSw,QSawf8Zoiy,EaLVoob9N4,1604281879,885861360,707654122,27935940918484
ZnkDSdQ13G,fAj3QuUP4l,ba5x3NMt8u,1469449895,2136931386,1120672644,27935941887747
udRxvq1kOW,R2Ao5visn0,2NQbbOgi9n,321109155,923865253,590146585,27935942847021
2EQePzocJ1,AiA8Pq0Bfc,2CamnaWT5U,1314287622,1695748504,1562741545,27935943754040
4c3TW2PTQV,E9pSQ_u3hf,EXQua5ExAd,1172048078,1916053174,1747656978,27935944760701
GplpYVgsCY,z5BgRcR0DW,WLjU70PFGz,922906393,652572738,559076791,27935945272228
NSl4VMUUOV,kc4wKRa6yL,NFTIPrJOaN,354926022,2101381017,1496064273,27935945842669
UU2opv21n_,SL1qvQI21h,tHBvO6hNiv,870693420,1301370382,446776090,27935946583705
eWo8rHvHXO,lgX4WQcoG7,WO9ZATYQfr,657101568,1687232892,109083434,27935947257374
kD_uGIS64n,acKV4wJKw_,47yD_wsBmB,628781173,924570032,1485255102,27935947996872
ITIGtZuNBn,tyklyOc06D,rkLXTfx4Zs,1727625789,850218749,2046014250,27935948862908
L7ZN3DOJhs,LHHHHov9qJ,VCpwV3DuXX,493356242,1435757245,545467417,27935949344210
mN9c26DR1P,VL4xESmttT,iD6GFlYiGo,510410091,1681747878,2007167415,27935972423895
YxNkavlnpZ,i66lB1Y8a_,xkatiXX8gz,1643050130,211485650,455020727,27935972927226
64Z0fgbIYb,f65w6cRPVX,aMnqoSPXRr,165856658,536162346,596520260,27935973374460
N_C2z0TLUv,ymvnte5x0E,vOk40WLciH,382261300,1734139066,1368567666,27935974008682
ILxGJjcboT,E9oOCCBwaB,bUEf_tb__k,516052125,411234668,141491954,27935974605250
aRmDERUyBf,yi8lWHcdF7,h56jYgLOEN,1301308079,1438144076,1308984377,27935975226152
azC1AeLdDn,XlC4oBzn6q,cUqXxzk2IS,1687431819,770569029,1255712473,27935975928510
i7Fj38AoAZ,_qbCthdYzK,Kwzc291tXL,986633231,481603682,1242222338,27935976385734
RMJxV_a7vF,6kGkbrxaCb,4FsBCabyD0,1021413204,171800015,962487527,27935976837066
MZS4jYldoZ,ktj27BOtcU,GB80vlnxKw,1829596275,1264134999,691392568,27935977285068
Ee4GKdXsgn,4VQaj48zKT,vbGGVPquXF,1664330528,561559782,1284733190,27935977894188
I85EZAOk2b,7npOsWvr7a,QRhj7emez8,1289055120,984417990,2031732576,27935978434660
RmzE6INdDG,WGzH8MgAGt,jAdXnGqrFY,1830016464,833027268,798411065,27935978939015
L2KugLjV3o,gKHKiFvWk3,VN43K_yUF1,1870410743,62220297,888332402,27935979423903
bPuSXBELmK,h90PYKRjYk,YqvstgRI2Z,189244765,988572903,1257781559,27935980361916
FbOgqd7YC7,tSSIotgmn4,sBwYnIm_j9,1307717634,488933102,936606623,27935981150851
a51mvmiJHd,qjJF9V_jgA,SM0uIZ06K8,893870098,1014816292,1788140879,27935981899827
J7ItpYvwRq,JXJDWfctf3,RhZfElHlpa,1641562530,591165420,261497654,27935982397779
C9krPhhJ9v,9V5YTYswyf,hvlCdWnqdJ,1311399602,1914689408,798422339,27935982846037
O9YJvkZfMK,0I7UYk31mb,VgC0i0T6yL,1940130280,1311166394,1993966419,27935983262790
28nk1dMn6J,XLBCCU_EdN,ag7M0UeUA1,1873537076,608303474,1556013083,27936006632947
kPDolMbq1a,0s4GZAT2q2,bPBAzHWxrY,255046364,1444900611,1897103949,27936007494116
FD2ZIMjAYX,BkchEwFkCJ,8_a0kvx6DT,833892676,969073561,1546575329,27936008040479
uWpjr5KtN0,9DLchiYCLn,Vn8eYTvSVN,1850035127,961937139,692067001,27936008651648
JozFLzZRzT,x_d7IUadFM,VGfJ05HCi0,1151265300,1185048849,1897291959,27936009457233
3lfE3tDBLo,dUt3PEJ67S,PfOJ1mr0aJ,1518710221,1527892500,1010114106,27936010286127
_zp0iwWsrJ,GUHFWI0HSm,iwrhj6QpmM,1173782842,310623818,1608650306,27936011009232
m3nu5n0Wma,W80_AAa2W2,6CGyhUHbTi,1204226918,462616908,600982363,27936011470810
zCuE7ci3zZ,dunzvFwuut,ULghU9j_tn,401962198,1406119863,2014584611,27936011927010
3P55p4Ielx,8p6B_y8tUw,OYRAkl9mrh,161642103,101884748,624604189,27936012378598
BX8v7QPmb1,Q0AnJPm7A0,tmO0gUl_W1,1355954526,1951107358,1141291223,27936012851959
kIo8Dw_Ron,Ja_yt6xmRZ,PZbBBXuCa0,396586854,656995713,1518356530,27936013277421
ajTRP7lPPm,PpYcs37az5,kiMaJ63mUj,1214699598,1440554600,1495672703,27936013784337
a4V5KTEgWA,3MEWSDGOHN,mroKSoQEfL,2031850578,2116116708,341122635,27936014252576
q5Btr7noHt,8sa_RwMszr,XE1N8hTlus,1503249399,1811083396,807865612,27936014769994
GEiZVlNCGc,XMrvZHBIxP,6G7XFXOiXq,1416780116,18421630,1170507405,27936015239257
KJ3rcwU3uE,6rsrTGy1x9,_46BSbU1dr,516619423,318061984,790131385,27936015740794
zvtrHf4v8J,m1xyWxj3AQ,TtLnFst9Ck,1701402041,1971899173,1521334625,27936016183674
goSr3MQA9n,VZpu8UOMMy,sQaftPNB7U,1286802607,2071275504,1269777110,27936016634494
_47GhZ9zwE,8L769Yarg_,pgPqjX9qq1,1890437530,1979431921,434632427,27936017054064
eoCWVpW0Xb,crJRAwDBZs,xhqU8xJtE8,299154902,897123483,889306698,27936039679600
ysbw7gWbIx,0zX_XuPRGZ,uLuWNW2VtH,385691248,276365000,1264681707,27936040293074
bQJt5GBMq_,INc6xPBGQS,o4Imqu8EDC,1513587192,863179321,802163018,27936040952398
OtQKolJDGp,QsEEnsSsED,u8MTeIJljg,60101750,644518943,933920189,27936041529755
dM5ZBwXkr0,ibymEsGDnw,QmWbKVuE_a,304647741,1231416442,1362151410,27936042135545
JgzKxR1k4N,9u2y4d3MF4,Pma8vFdAjD,151570171,671358062,1479647387,27936042853527
3yAkKXvAcQ,5dItLSW44o,8iTjQbUX6y,351502430,743151386,1779760135,27936043734932
UoyIe6xbRz,IOdb0WARiE,BUiFznkYNv,1557236143,1648050454,592293206,27936044292822
orvgoycEpX,4nRlBZzv4N,MbkjeVfSYC,1234657257,1475783851,488999100,27936044862494
VFiDeQ7BUQ,lKtLRJVYZ8,m30syzFkAo,1367848249,1754606684,1857245113,27936045391183
xqFC3D7mhf,sRkBICpAk3,Sn4IkFWuZQ,2099325811,1922363928,1284790267,27936045937034
X1iNTI9Jud,gngNTzs0IP,jxIi77MWcL,49877679,2100856070,224050771,27936046467260
