REPRESENTANTE_RESTAURANTE,NOMBRE_PRODUCTO,CANTIDAD_MAXIMA,CANTIDAD_ACTUAL
j4CrsW0L8Z,LdVmVEli5M,1714021537,452085118
j4CrsW0L8Z,SQ3R966cJK,1333958958,133688193
j4CrsW0L8Z,Q8FBzwZY1n,836112804,380314178
j4CrsW0L8Z,Jwp3ir1MFs,1649258502,1572403849
j4CrsW0L8Z,wVqR3sDjMB,1025338070,353311822
j4CrsW0L8Z,f8m1PW4d8U,1977613891,355710335
j4CrsW0L8Z,woTKCh9dhL,1664991841,673578550
j4CrsW0L8Z,sodDFuO2UT,1964866010,1674448169
j4CrsW0L8Z,rIOoxg5_hC,1767162800,907304294
j4CrsW0L8Z,O08LCbJp23,788891628,565577517
j4CrsW0L8Z,sPXYVu6Aul,1615540836,99724990
j4CrsW0L8Z,D_hxKY5r_p,2121998298,2097940241
j4CrsW0L8Z,XknnHZfJLL,2040775512,1422961981
j4CrsW0L8Z,r7CJDnNfcH,688750903,370232525
j4CrsW0L8Z,uAF9ICrJAb,1088818666,251281818
j4CrsW0L8Z,SikznEBWaT,2118904906,654776476
j4CrsW0L8Z,J8GenZiCtb,1808569482,444885362
j4CrsW0L8Z,AlYKJH9w98,1472569606,70167102
j4CrsW0L8Z,nEE3Iolp4v,2060548893,918913343
j4CrsW0L8Z,n6opWbM2hM,466174390,420077426
hmNq_abJCa,W3U5_sg6_r,1956409704,1867702971
hmNq_abJCa,m7BJtMeK0_,912980431,85684452
hmNq_abJCa,wJKOp3uM7f,2100923209,133876194
hmNq_abJCa,qUPp9U1QYj,1792189555,394297177
hmNq_abJCa,u0t27ApDfC,1826302022,698465685
hmNq_abJCa,uKBq4OROP8,681520757,518815148
hmNq_abJCa,CifM2Rb3Lw,1669254291,1511700890
hmNq_abJCa,obJxkAR1ja,1856650478,1414940456
hmNq_abJCa,LkxxzmSnU_,2117320487,1176958668
hmNq_abJCa,22lWE6VMbg,1095574047,255134085
hmNq_abJCa,SZ7eIghT0X,259788407,152364761
hmNq_abJCa,nfVheSPmmp,1472902580,404122922
hmNq_abJCa,j7gXt5Qtvz,982113478,90005213
hmNq_abJCa,3dIV_9ZLP9,458715842,239558173
hmNq_abJCa,E0urzKqOCk,217701843,46602436
hmNq_abJCa,NnN8TgPpUw,2126317556,1495348459
hmNq_abJCa,syaSQDOyj6,1337547064,604887688
hmNq_abJCa,6RwQIr1qgr,1206202796,430389568
hmNq_abJCa,S5vjS4nP1a,1974241464,819925146
hmNq_abJCa,noB0JBZLfN,609830592,35186975
CWaXfg9rsC,pbVg0p0__a,1936976602,552687209
CWaXfg9rsC,kJ0A6JIj4f,1707834535,266232452
CWaXfg9rsC,O2oPr4ck8o,1341003108,500266185
CWaXfg9rsC,m5szpwCLwn,1250114339,71583889
CWaXfg9rsC,VSnqVh10RK,2021696557,159266799
CWaXfg9rsC,DYvFVdxhbj,1728041725,400740359
CWaXfg9rsC,jVpgpOtKYh,1833596028,1575318613
CWaXfg9rsC,kgRWnbbj66,1470923732,590821653
CWaXfg9rsC,GzN2Rb8RSw,745695694,63489547
CWaXfg9rsC,ZnkDSdQ13G,2025767748,586452461
CWaXfg9rsC,udRxvq1kOW,1888508018,192469267
CWaXfg9rsC,2EQePzocJ1,1693888281,960704821
CWaXfg9rsC,4c3TW2PTQV,1305996647,262832165
CWaXfg9rsC,GplpYVgsCY,1963175301,777796665
CWaXfg9rsC,NSl4VMUUOV,296390062,241386329
CWaXfg9rsC,UU2opv21n_,1967218109,359443105
CWaXfg9rsC,eWo8rHvHXO,1122049656,177740439
CWaXfg9rsC,kD_uGIS64n,1420114607,464894013
CWaXfg9rsC,ITIGtZuNBn,1557255618,1502286558
CWaXfg9rsC,L7ZN3DOJhs,1811636082,248321638
DBXaj5Oj3_,mN9c26DR1P,1064882179,870282532
DBXaj5Oj3_,YxNkavlnpZ,1996555290,1717778591
DBXaj5Oj3_,64Z0fgbIYb,853018602,802855326
DBXaj5Oj3_,N_C2z0TLUv,1152530645,144624541
DBXaj5Oj3_,ILxGJjcboT,64260485,62417757
DBXaj5Oj3_,aRmDERUyBf,1824902979,791557074
DBXaj5Oj3_,azC1AeLdDn,2085347295,956817237
DBXaj5Oj3_,i7Fj38AoAZ,341456238,174031756
DBXaj5Oj3_,RMJxV_a7vF,793617422,338025631
DBXaj5Oj3_,MZS4jYldoZ,586361010,203128145
DBXaj5Oj3_,Ee4GKdXsgn,219216225,4702115
DBXaj5Oj3_,I85EZAOk2b,1750551474,1107820113
DBXaj5Oj3_,RmzE6INdDG,1196052760,1121525611
DBXaj5Oj3_,L2KugLjV3o,1049262669,1025852580
DBXaj5Oj3_,bPuSXBELmK,2094539959,187520518
DBXaj5Oj3_,FbOgqd7YC7,869415815,495089788
DBXaj5Oj3_,a51mvmiJHd,2116325648,1232641352
DBXaj5Oj3_,J7ItpYvwRq,2125785860,927578985
DBXaj5Oj3_,C9krPhhJ9v,723843760,477702657
DBXaj5Oj3_,O9YJvkZfMK,2096674215,411542777
TvMC8Pjhnq,28nk1dMn6J,1602370824,651054826
TvMC8Pjhnq,kPDolMbq1a,2076413689,1533930841
TvMC8Pjhnq,FD2ZIMjAYX,1876417101,513778149
TvMC8Pjhnq,uWpjr5KtN0,761016236,178744362
TvMC8Pjhnq,JozFLzZRzT,1885604573,227729465
TvMC8Pjhnq,3lfE3tDBLo,1820154793,1103697578
TvMC8Pjhnq,_zp0iwWsrJ,1708509936,1056262629
TvMC8Pjhnq,m3nu5n0Wma,1570309776,1098142506
TvMC8Pjhnq,zCuE7ci3zZ,1479061935,906659480
TvMC8Pjhnq,3P55p4Ielx,1033143097,972343481
TvMC8Pjhnq,BX8v7QPmb1,1305969175,192253188
TvMC8Pjhnq,kIo8Dw_Ron,1233666264,33853529
TvMC8Pjhnq,ajTRP7lPPm,755225148,594416768
